date,strategy_return,predicted_regime,position_method,top_l,forecast_method,n_same_regime_obs,long_etfs,short_etfs,gross_exposure,net_exposure
2018-09-01,0.017172422329357322,0,lo,2,regime_conditioned,223,"XLP,XLU",,1.0,1.0
2018-10-01,-0.0012271992530803431,0,lo,2,regime_conditioned,224,"XLP,XLU",,1.0,1.0
2018-11-01,-0.01407782940756027,0,lo,2,regime_conditioned,225,"XLP,XLV",,1.0,1.0
2018-12-01,0.03229633356128062,0,lo,2,regime_conditioned,226,"XLP,XLU",,1.0,1.0
2019-01-01,-0.081475460539912,0,lo,2,regime_conditioned,227,"XLP,XLU",,1.0,1.0
2019-02-01,0.051669768773303607,0,lo,2,regime_conditioned,228,"XLP,XLU",,1.0,1.0
2019-03-01,0.03261514322253038,0,lo,2,regime_conditioned,229,"XLP,XLU",,1.0,1.0
2019-04-01,0.02798990824568238,0,lo,2,regime_conditioned,230,"XLP,XLU",,1.0,1.0
2019-05-01,0.012885346491550192,0,lo,2,regime_conditioned,231,"XLP,XLU",,1.0,1.0
2019-06-01,-0.0004346343654382844,0,lo,2,regime_conditioned,232,"XLP,XLU",,1.0,1.0
2019-07-01,0.03276258433664682,0,lo,2,regime_conditioned,233,"XLP,XLU",,1.0,1.0
2019-08-01,0.012616539753303643,0,lo,2,regime_conditioned,234,"XLP,XLU",,1.0,1.0
2019-09-01,0.0442975007407885,0,lo,2,regime_conditioned,235,"XLP,XLU",,1.0,1.0
2019-10-01,0.01523699020674931,0,lo,2,regime_conditioned,236,"XLP,XLU",,1.0,1.0
2019-11-01,-0.004652526977774117,0,lo,2,regime_conditioned,237,"XLP,XLU",,1.0,1.0
2019-12-01,-0.002427966532402367,0,lo,2,regime_conditioned,238,"XLP,XLU",,1.0,1.0
2020-01-01,0.019831242201081217,0,lo,2,regime_conditioned,239,"XLP,XLU",,1.0,1.0
2020-02-01,0.04602489137553018,0,lo,2,regime_conditioned,240,"XLP,XLU",,1.0,1.0
2020-03-01,-0.040560445008836515,0,lo,2,regime_conditioned,241,"XLP,XLU",,1.0,1.0
2020-04-01,-0.15822429502670418,0,lo,2,regime_conditioned,242,"XLP,XLU",,1.0,1.0
2020-05-01,0.07458704526236135,0,lo,2,regime_conditioned,243,"XLP,XLU",,1.0,1.0
2020-06-01,0.056394402204108726,0,lo,2,regime_conditioned,244,"XLP,XLU",,0.9999999999999999,0.9999999999999999
2020-07-01,-0.02126386739252098,0,lo,2,regime_conditioned,245,"XLP,XLU",,1.0,1.0
2020-08-01,0.054456738034206385,0,lo,2,regime_conditioned,246,"XLP,XLU",,1.0,1.0
2020-09-01,0.029679468163178846,0,lo,2,regime_conditioned,247,"XLP,XLV",,1.0,1.0
2020-10-01,-0.014133608706528175,0,lo,2,regime_conditioned,248,"XLP,XLV",,1.0,1.0
2020-11-01,0.01870026878668757,0,lo,2,regime_conditioned,249,"XLP,XLU",,1.0,1.0
2020-12-01,0.032152218365888434,0,lo,2,regime_conditioned,250,"XLP,XLU",,1.0,1.0
2021-01-01,-0.013729552637338067,0,lo,2,regime_conditioned,251,"XLP,XLU",,1.0,1.0
2021-02-01,-0.010420706797153382,0,lo,2,regime_conditioned,252,"XLP,XLV",,1.0,1.0
2021-03-01,-0.007402884806267996,0,lo,2,regime_conditioned,253,"XLP,XLV",,1.0,1.0
2021-04-01,0.047715014275123195,0,lo,2,regime_conditioned,254,"XLP,XLV",,1.0,1.0
2021-05-01,0.04231822686174397,0,lo,2,regime_conditioned,255,"XLP,XLV",,1.0,1.0
2021-06-01,-0.00114361478620101,0,lo,2,regime_conditioned,256,"XLP,XLV",,1.0,1.0
2021-07-01,0.020211387212961843,0,lo,2,regime_conditioned,257,"XLP,XLV",,1.0,1.0
2021-08-01,0.03049605408568295,0,lo,2,regime_conditioned,258,"XLP,XLV",,0.9999999999999999,0.9999999999999999
2021-09-01,0.021020544859459703,0,lo,2,regime_conditioned,259,"XLP,XLV",,1.0,1.0
2021-10-01,-0.049272136920770766,0,lo,2,regime_conditioned,260,"XLP,XLV",,1.0,1.0
2021-11-01,0.04137319639318046,0,lo,2,regime_conditioned,261,"XLP,XLV",,1.0,1.0
2021-12-01,-0.025142349916502472,0,lo,2,regime_conditioned,262,"XLP,XLV",,1.0,1.0
2022-01-01,0.09612540071361894,0,lo,2,regime_conditioned,263,"XLP,XLV",,1.0,1.0
2022-02-01,-0.034748838611027455,0,lo,2,regime_conditioned,264,"XLP,XLV",,1.0,1.0
2022-03-01,-0.01842007768304991,0,lo,2,regime_conditioned,265,"XLP,XLV",,1.0,1.0
2022-04-01,0.051560366259858534,0,lo,2,regime_conditioned,266,"XLP,XLV",,1.0,1.0
2022-05-01,-0.0293616952887941,0,lo,2,regime_conditioned,267,"XLP,XLV",,1.0,1.0
2022-06-01,-0.01896105619746223,0,lo,2,regime_conditioned,268,"XLP,XLV",,1.0,1.0
2022-07-01,-0.009308648924645451,0,lo,2,regime_conditioned,269,"XLP,XLU",,1.0,1.0
2022-08-01,0.02228840585540024,0,lo,2,regime_conditioned,270,"XLP,XLV",,1.0,1.0
2022-09-01,-0.029782993132738154,0,lo,2,regime_conditioned,271,"XLP,XLV",,1.0,1.0
2022-10-01,-0.0843707022773425,0,lo,2,regime_conditioned,272,"XLP,XLU",,1.0,1.0
2022-11-01,0.07126300051553772,0,lo,2,regime_conditioned,273,"XLP,XLV",,0.9999999999999999,0.9999999999999999
2022-12-01,0.05494317094508527,0,lo,2,regime_conditioned,274,"XLP,XLV",,1.0,1.0
