date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1977-12-01,0.0,2.1292452520483514e-152,6.499270265814068e-290,1.0,0.0,3.991958225935617e-79
1978-01-01,0.0,4.592577775272196e-74,1.0,1.3080537307572148e-23,0.0,2.1277750328518067e-45
1978-02-01,0.0,3.6608303834030024e-60,3.3099559891554015e-13,0.9999999999996732,0.0,1.7524419865512622e-36
1978-03-01,0.0,1.0044492317868667e-63,1.0467145743322612e-10,0.9999999998953228,0.0,9.405327201701657e-27
1978-04-01,0.0,4.228844492546146e-126,6.318363682132697e-258,1.0,0.0,3.3469846970063452e-158
1978-05-01,0.0,2.14493311010894e-68,0.0002530462405253695,0.9997469537594756,0.0,1.3114541032769564e-16
1978-06-01,0.0,2.64007624681954e-52,9.539415992493791e-08,0.9999999045948061,0.0,1.1033974901868362e-11
1978-07-01,0.0,2.713053501371214e-15,0.0016754478912933014,0.9983245521087051,0.0,2.3937495575463974e-17
1978-08-01,0.0,6.75933992683926e-45,0.9999997106385542,2.893614447390861e-07,0.0,1.2116007086006448e-15
1978-09-01,0.0,2.881290007729864e-35,9.458823710104382e-06,0.9999905411762874,0.0,3.773866593929054e-20
1978-10-01,0.0,1.9039069459739942e-35,0.018200285212979134,0.981799714756039,0.0,3.098051760145167e-11
1978-11-01,0.0,3.672589506857161e-59,8.040502256176784e-06,0.9999919594938997,0.0,3.846977959056411e-12
1978-12-01,0.0,1.614063614435096e-39,6.762548457026745e-05,0.9990912317444617,0.0,0.0008411427709712039
1979-01-01,0.0,5.5899729094136486e-49,0.9999999993090825,6.909130102126555e-10,0.0,5.91765636384951e-28
1979-02-01,0.0,5.956009786058477e-36,0.9999999999997016,2.9674273496462596e-13,0.0,5.610389507306935e-28
1979-03-01,0.0,6.310217618445974e-64,1.7706009305992284e-13,0.9999999999998295,0.0,1.560390521966639e-35
1979-04-01,0.0,4.7091184289713125e-76,0.9999999999993605,6.366631887663744e-13,0.0,6.616481183109374e-71
1979-05-01,0.0,4.6470600178693314e-98,1.0338455630906005e-08,0.9999999896615464,0.0,4.688721096278472e-72
1979-06-01,0.0,3.548159185132013e-45,0.9999991634280736,8.365719269548714e-07,0.0,4.805835168813396e-23
