date,bl_lo_2,bl_lns_2,bl_lo_3,bl_lns_3,bl_lo_4,bl_lns_4
2008-01-01,0.037126567330372194,0.022006641763214024,0.031329217072928905,0.01834453446537915,0.027736042457690097,0.012651785954332917
2008-02-01,-0.09076120184789666,-0.08011249726410268,-0.0723189477435556,-0.06710658852874443,-0.0710638358663435,-0.06354856047236054
2008-03-01,0.01743586719423131,0.008523998260651353,0.017098781305651324,0.007887827529339104,0.011615577482859817,0.00045931976582697575
2008-04-01,3.315800101114955e-05,0.002848597440123928,0.00013355259711290678,0.0042703357727395495,0.004483271476140815,0.010054283267556443
2008-05-01,0.03819765606197488,0.04417073437347462,0.034663255513217424,0.04053365063599034,0.03312887458154166,0.03577810511463167
2008-06-01,0.03954493701468621,0.0281565058531357,0.04165395585084709,0.029321013481993823,0.036970445143577405,0.024176693535651012
2008-07-01,0.014208829261642566,-0.0016207971782518876,-0.0006550550062909727,-0.015688773323483878,-0.00839704526816207,-0.02512822203140346
2008-08-01,-0.1076164527224973,-0.1215438471516072,-0.09787746037134226,-0.09478120344963555,-0.09544162405591132,-0.08493067763982114
2008-09-01,-0.013844137876701013,-0.010152194934726352,-0.01523649640256328,-0.00875636758723721,-0.013448566858242621,-0.005745833395168039
2008-10-01,-0.0566214036966937,-0.015758038879228126,-0.0664294567228881,-0.018119004001153634,-0.07496551211491978,-0.019858721898702948
2008-11-01,-0.05559848507755425,0.08924705238614035,-0.06250098880909531,0.1254101925767074,-0.06705991165100166,0.15074414585829424
2008-12-01,0.042626986406817224,0.10045166935888801,0.060750915822097566,0.09421526111060856,0.049270273920550126,0.08128434098124006
2009-01-01,-0.02417953294779087,-0.04355489098470446,-0.034758230891584155,-0.04408437055157556,-0.040841897031668815,-0.048179119161182664
2009-02-01,0.0183778769858681,0.053850585791072436,0.012937659844515541,0.04253104801156022,0.03081664455110787,0.04568792986467986
